time	HeartRate	RR
0	56	0.9052
2.9275	57	0.7910
3.9299	58	1.0175
4.9318	59	0.9482
6.4441	59	1.0468
7.4467	59	0.9775
8.4489	59	1.0244
9.4520	59	1.0595
10.454	59	1.0380
11.457	59	1.0517
12.460	59	1.0449
13.462	59	1.0625
14.464	59	1.0947
15.465	58	1.0273
16.925	58	1.1259
17.927	58	1.1171
18.929	57	1.0800
19.931	57	1.1630
20.934	57	1.1162
21.936	56	1.125
22.939	56	1.1845
23.941	56	1.0595
24.943	55	0.9892
25.946	56	1.0273
26.949	56	1.0654
27.951	56	1.0693
29.925	56	1.0537
30.927	56	1.0439
31.930	56	1.0419
32.933	57	1.0439
33.935	57	1.0166
34.937	57	1.0273
36.924	57	0.9384
37.925	58	0.9150
38.927	58	1.1572
39.930	58	1.2070
40.933	58	1.2089
42.925	57	1.2265
43.945	56	1.2148
44.946	55	1.1513
45.948	55	1.0732
46.950	55	1.0849
47.952	55	1.0830
48.955	55	1.0292
49.956	55	1.1103
50.958	55	1.1220
51.960	55	1.0673
53.924	55	1.1416
54.927	55	1.1064
55.931	55	1.1328
56.933	55	1.1669
57.942	54	1.1279
58.944	54	1.0595
59.946	54	1.0839
60.953	54	1.0751
61.961	55	1.0097
62.963	55	1.0869
64.924	55	1.1240
65.926	55	1.1445
66.928	55	1.0859
67.931	55	1.0966
68.944	55	1.1376
69.946	55	1.1464
70.948	54	1.1220
71.951	54	1.1318
72.953	54	1.0517
74.923	54	1.0644
75.925	55	1.0947
76.927	55	1.1113
77.930	55	1.1396
78.932	54	1.1152
79.934	54	1.1738
80.936	54	1.0830
81.938	54	1.0068
82.940	54	1.0625
83.943	55	1.0429
84.946	55	1.0712
85.949	55	1.0224
86.952	55	0.9677
87.953	56	0.9335
88.955	57	0.9306
89.957	57	1.0019
90.959	58	0.9707
91.961	59	0.9082
92.963	60	0.8544
94.423	61	0.8378
95.426	62	0.7402
96.432	64	0.8066
97.443	65	1.0273
98.445	65	1.0751
99.447	64	1.0732
100.44	63	1.0400
101.45	63	0.9394
102.46	63	0.8769
103.46	63	0.9140
104.47	63	1.0068
105.48	63	1.0244
106.48	63	0.9990
107.48	63	1.0683
108.48	62	1.0634
109.49	62	1.0126
110.49	61	1.0234
111.50	61	1.0488
112.50	61	1.0371
113.92	60	1.0693
114.92	60	1.0986
115.92	60	1.1630
116.93	59	1.1503
117.93	58	1.1142
118.93	58	1.0976
119.94	57	1.1523
120.94	57	1.1611
121.94	56	1.1074
123.92	56	1.0351
124.92	56	1.0800
126.41	56	1.0732
127.41	56	1.0136
128.42	56	0.9794
129.42	57	1.0156
130.42	57	1.0800
131.42	57	1.0185
132.43	57	0.9980
133.43	57	1.0947
134.44	57	1.1347
135.45	57	1.0527
136.47	57	1.1181
137.47	57	1.1484
138.48	56	1.1064
139.48	56	1.0058
140.48	56	0.9667
141.49	57	1.0107
142.49	57	1.0820
143.49	57	1.0937
144.49	57	1.0605
145.49	57	0.9541
146.50	57	0.7988
147.50	58	0.7441
148.50	60	0.9550
149.50	61	1.1318
150.50	61	1.0771
151.51	60	1.0908
152.51	60	1.0195
153.51	60	1.0292
154.51	59	1.0126
155.52	59	1.0039
156.52	59	0.9707
157.52	60	0.9345
158.52	60	0.8681
159.52	61	0.8671
160.53	61	0.8925
161.53	62	0.9589
162.53	62	0.8916
163.53	63	0.8662
164.54	63	0.8916
165.54	64	0.9306
166.54	64	0.8691
167.54	64	0.8828
168.54	65	0.8896
169.55	65	0.9091
170.55	65	0.9414
171.55	65	0.9482
172.55	65	0.9541
173.55	65	0.8662
174.56	65	0.8437
175.56	65	0.8583
176.56	66	0.8427
177.56	67	0.7734
178.57	68	0.8740
179.57	68	0.9179
180.57	68	0.9677
181.57	68	0.8798
182.57	67	0.9218
183.57	67	0.9443
184.58	67	0.9423
185.58	67	0.9628
186.58	66	0.9384
187.58	66	0.9443
188.58	66	0.9560
189.59	65	0.9843
190.59	65	0.9941
191.60	65	0.9453
192.60	64	0.8554
193.60	65	0.9345
194.60	65	1.0312
195.60	65	1.0439
196.60	64	1.0478
197.61	63	1.0068
198.61	63	0.9980
199.61	62	1.0097
200.62	62	1.0097
201.62	62	0.9833
202.62	62	1.0097
203.62	62	1.0742
204.63	61	1.0654
205.63	61	1.0253
206.63	60	1.0507
207.64	60	1.0556
208.64	60	1.0546
209.64	59	1.0292
210.65	59	0.9394
211.65	59	0.9482
212.65	60	1.0371
213.66	60	1.0664
214.67	60	1.0732
215.67	59	1.0400
216.67	59	1.0341
217.67	59	1.0195
218.67	59	0.9824
219.67	59	1.0009
220.68	59	0.9199
221.68	59	0.8701
222.68	60	0.9169
223.68	61	1.0166
224.68	61	1.0117
225.69	61	1.0283
226.69	61	1.0585
227.69	60	1.0644
228.69	60	1.0087
229.69	60	0.9130
230.70	60	0.9599
231.70	60	1.0664
232.70	60	1.0146
233.70	60	1.1230
234.91	60	1.0605
235.92	59	1.1201
236.92	59	1.1435
237.92	58	1.1542
238.92	58	1.1308
239.94	57	1.0966
240.94	57	0.9921
241.94	57	1.0292
242.95	57	1.0957
243.95	57	1.1435
244.95	57	1.0449
246.92	57	1.0351
247.92	57	1.0800
248.92	57	1.1357
