time	HeartRate	RR
0	68	0.9013
2.0764	68	0.8642
3.0981	68	0.9023
4.1110	68	0.9267
5.5572	68	0.9238
6.5764	67	0.9375
7.5943	67	0.9355
8.6002	67	0.9042
9.6040	66	0.9326
10.679	66	0.9140
11.684	66	0.8798
12.688	66	0.8759
13.701	66	0.8808
14.706	67	0.9042
15.711	67	0.9443
16.719	66	0.9677
17.724	66	0.9550
18.730	66	0.9248
19.734	66	0.9199
20.756	66	0.8955
21.758	66	0.9013
22.764	66	0.8818
23.768	66	0.8623
24.771	66	0.8408
25.782	67	0.8671
26.788	67	0.8730
28.059	67	0.9003
29.065	67	0.9013
30.066	67	0.8935
31.070	67	0.9091
32.072	67	0.9023
33.088	67	0.9150
34.089	67	0.9267
35.094	67	0.8906
36.096	67	0.8730
37.101	67	0.8779
38.103	67	0.8906
39.127	67	0.8925
40.130	67	0.9003
41.131	67	0.8515
42.150	67	0.8330
43.162	68	0.8310
44.167	68	0.8613
45.186	68	0.9287
46.188	68	0.8779
47.199	68	0.8730
48.202	68	0.8574
49.207	68	0.8593
50.209	68	0.8681
51.229	69	0.8583
52.230	69	0.8701
53.232	69	0.8730
54.235	69	0.8720
55.256	69	0.8349
56.257	69	0.8720
57.278	69	0.9062
58.280	69	0.8906
59.289	68	0.8828
60.299	68	0.8779
61.305	68	0.8984
62.306	68	0.9228
63.308	68	0.9287
64.310	68	0.9179
65.317	67	0.9179
66.319	67	0.9052
67.322	67	0.8916
68.370	67	0.9179
69.372	67	0.9150
70.395	67	0.9130
71.399	67	0.8974
72.411	67	0.8642
73.412	67	0.8056
74.419	68	0.8007
75.421	69	0.8554
76.429	69	0.8808
77.430	69	0.9072
78.435	69	0.9150
79.437	69	0.9033
80.439	68	0.8837
81.440	68	0.8564
82.445	68	0.8964
83.447	68	0.9472
84.451	68	0.9365
85.453	67	0.9169
86.470	67	0.9218
87.477	67	0.8945
88.485	67	0.8935
89.489	67	0.9160
90.493	67	0.9296
91.495	67	0.9042
92.537	67	0.9111
93.540	66	0.9218
94.549	66	0.9082
95.551	66	0.9062
96.567	66	0.9091
97.574	66	0.9052
98.579	66	0.8896
99.580	66	0.8847
100.58	66	0.9257
101.58	66	0.9189
102.59	66	0.9013
103.59	66	0.9121
104.60	66	0.9091
105.60	66	0.8769
106.60	66	0.8828
107.61	67	0.8808
108.61	67	0.8808
109.61	67	0.8525
