1607444665251.csv;;;;;;;;;;;;
Initial time: 1607444603859	| Ending time: 1607444665248	| Duration: 61,4 sec	| Sample rate: 0;;;;;;;;;;;;
MAC ADDRESS; SEQ ID; DIGITAL;;;; ANALOG;;;;;; TIMESTAMP
88:6B:0F:F1:94:16;0;1;1;0;0;1;474;0;0;0;0;1607444604225
88:6B:0F:F1:94:16;1;1;1;0;0;3;537;0;0;0;0;1607444604332
88:6B:0F:F1:94:16;2;1;1;0;0;0;520;0;0;0;0;1607444604443
88:6B:0F:F1:94:16;3;1;1;0;0;3;507;0;0;0;0;1607444604526
88:6B:0F:F1:94:16;4;1;1;0;0;1;499;0;0;0;0;1607444604633
88:6B:0F:F1:94:16;5;1;1;0;0;3;492;0;0;0;0;1607444604744
88:6B:0F:F1:94:16;6;1;1;0;0;0;504;0;0;0;0;1607444604833
88:6B:0F:F1:94:16;7;1;1;0;0;1;494;0;0;0;0;1607444604921
88:6B:0F:F1:94:16;8;1;1;0;0;1;485;0;0;0;0;1607444605028
88:6B:0F:F1:94:16;9;1;1;0;0;3;473;0;0;0;0;1607444605136
88:6B:0F:F1:94:16;10;1;1;0;0;0;534;0;0;0;0;1607444605218
88:6B:0F:F1:94:16;11;1;1;0;0;3;508;0;0;0;0;1607444605323
88:6B:0F:F1:94:16;12;1;1;0;0;0;501;0;0;0;0;1607444605433
88:6B:0F:F1:94:16;13;1;1;0;0;3;501;0;0;0;0;1607444605521
88:6B:0F:F1:94:16;14;1;1;0;0;1;503;0;0;0;0;1607444605628
88:6B:0F:F1:94:16;15;1;1;0;0;3;632;0;0;0;0;1607444605738
88:6B:0F:F1:94:16;0;1;1;0;0;0;489;0;0;0;0;1607444605821
88:6B:0F:F1:94:16;1;1;1;0;0;3;469;0;0;0;0;1607444605928
88:6B:0F:F1:94:16;2;1;1;0;0;0;551;0;0;0;0;1607444606022
88:6B:0F:F1:94:16;3;1;1;0;0;3;513;0;0;0;0;1607444606136
88:6B:0F:F1:94:16;4;1;1;0;0;0;504;0;0;0;0;1607444606221
88:6B:0F:F1:94:16;5;1;1;0;0;3;494;0;0;0;0;1607444606321
88:6B:0F:F1:94:16;6;1;1;0;0;1;484;0;0;0;0;1607444606431
88:6B:0F:F1:94:16;7;1;1;0;0;3;492;0;0;0;0;1607444606539
88:6B:0F:F1:94:16;8;1;1;0;0;1;489;0;0;0;0;1607444606625
88:6B:0F:F1:94:16;9;1;1;0;0;3;472;0;0;0;0;1607444606738
88:6B:0F:F1:94:16;10;1;1;0;0;0;492;0;0;0;0;1607444606823
88:6B:0F:F1:94:16;11;1;1;0;0;3;522;0;0;0;0;1607444606930
88:6B:0F:F1:94:16;12;1;1;0;0;0;510;0;0;0;0;1607444607042
88:6B:0F:F1:94:16;13;1;1;0;0;3;505;0;0;0;0;1607444607127
88:6B:0F:F1:94:16;14;1;1;0;0;0;492;0;0;0;0;1607444607236
88:6B:0F:F1:94:16;15;1;1;0;0;1;508;0;0;0;0;1607444607327
88:6B:0F:F1:94:16;0;1;1;0;0;1;499;0;0;0;0;1607444607435
88:6B:0F:F1:94:16;1;1;1;0;0;3;489;0;0;0;0;1607444607542
88:6B:0F:F1:94:16;2;1;1;0;0;1;483;0;0;0;0;1607444607625
88:6B:0F:F1:94:16;3;1;1;0;0;3;528;0;0;0;0;1607444607733
88:6B:0F:F1:94:16;4;1;1;0;0;0;513;0;0;0;0;1607444607842
88:6B:0F:F1:94:16;5;1;1;0;0;3;508;0;0;0;0;1607444607932
88:6B:0F:F1:94:16;6;1;1;0;0;1;492;0;0;0;0;1607444608038
88:6B:0F:F1:94:16;7;1;1;0;0;3;422;0;0;0;0;1607444608121
88:6B:0F:F1:94:16;8;1;1;0;0;1;502;0;0;0;0;1607444608229
88:6B:0F:F1:94:16;9;1;1;0;0;3;485;0;0;0;0;1607444608336
